date,areaType,areaCode,areaName,cumCasesBySpecimenDate,newCasesBySpecimenDate
31/10/2020,utla,W06000010,Carmarthenshire,2088,36
31/10/2020,utla,E09000018,Hounslow,3502,39
31/10/2020,utla,E06000003,Redcar and Cleveland,2610,43
31/10/2020,utla,E06000013,North Lincolnshire,2335,47
31/10/2020,utla,W06000018,Caerphilly,3152,42
31/10/2020,utla,E10000006,Cumbria,6999,119
31/10/2020,utla,E06000006,Halton,3599,38
31/10/2020,utla,E08000004,Oldham,10221,193
31/10/2020,utla,E08000031,Wolverhampton,4631,87
31/10/2020,utla,E06000020,Telford and Wrekin,2176,54
31/10/2020,utla,N09000011,Ards and North Down,1755,39
31/10/2020,utla,E10000017,Lancashire,34338,490
31/10/2020,utla,E09000016,Havering,3221,84
31/10/2020,utla,E08000034,Kirklees,11365,294
31/10/2020,utla,E08000014,Sefton,8289,63
31/10/2020,utla,E09000028,Southwark,3484,30
31/10/2020,utla,E06000039,Slough,2040,38
31/10/2020,utla,N09000001,Antrim and Newtownabbey,2507,31
31/10/2020,utla,E10000018,Leicestershire,11556,221
31/10/2020,utla,E06000058,"Bournemouth, Christchurch and Poole",4413,73
31/10/2020,utla,S12000045,East Dunbartonshire,1796,24
31/10/2020,utla,E08000025,Birmingham,25359,412
31/10/2020,utla,E09000006,Bromley,3249,26
31/10/2020,utla,E09000022,Lambeth,3775,38
31/10/2020,utla,E10000016,Kent,13966,204
31/10/2020,utla,E09000002,Barking and Dagenham,2448,31
31/10/2020,utla,E09000032,Wandsworth,3565,45
31/10/2020,utla,E10000028,Staffordshire,13445,354
31/10/2020,utla,E09000033,Westminster,2707,71
31/10/2020,utla,E10000021,Northamptonshire,8865,142
31/10/2020,utla,E10000002,Buckinghamshire,4486,81
31/10/2020,utla,E06000008,Blackburn with Darwen,6751,67
31/10/2020,utla,E08000005,Rochdale,8727,148
31/10/2020,utla,S12000023,Orkney Islands,33,0
31/10/2020,utla,W06000015,Cardiff,8020,96
31/10/2020,utla,S12000029,South Lanarkshire,6644,81
31/10/2020,utla,E08000028,Sandwell,6926,130
31/10/2020,utla,E08000002,Bury,6735,134
31/10/2020,utla,E09000011,Greenwich,2532,32
31/10/2020,utla,E06000005,Darlington,2033,37
31/10/2020,utla,E10000034,Worcestershire,6497,128
31/10/2020,utla,S12000047,Fife,2500,33
31/10/2020,utla,N09000007,Lisburn and Castlereagh,2709,43
31/10/2020,utla,E08000037,Gateshead,5105,66
31/10/2020,utla,E09000017,Hillingdon,3754,55
31/10/2020,utla,E09000008,Croydon,3933,42
31/10/2020,utla,W06000024,Merthyr Tydfil,2074,21
31/10/2020,utla,E06000036,Bracknell Forest,942,17
31/10/2020,utla,E08000017,Doncaster,7899,183
31/10/2020,utla,S12000050,North Lanarkshire,6622,104
31/10/2020,utla,E10000032,West Sussex,5834,91
